N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
102,TIGER 차이나전기차SOLACTIVE,"11,755",110,+0.94%,0,"28,795","244,960",0.74,"1,862,240",N/A,N/A,
103,아모레G,"34,900","1,200",-3.32%,500,"28,778","82,458",10.35,"366,267",90.18,5.49,
104,삼성증권,"31,450",700,-2.18%,"5,000","28,085","89,300",27.02,"277,705",5.05,16.94,
105,포스코인터내셔널,"22,600","1,000",-4.24%,"5,000","27,883","123,375",8.72,"703,784",4.87,10.86,
106,이마트,"98,000","7,500",-7.11%,"5,000","27,318","27,876",29.02,"339,158",2.95,16.25,
107,현대차2우B,"73,900","2,900",-3.78%,"5,000","26,963","36,485",59.92,"81,409",3.30,N/A,
108,제일기획,"23,050",50,-0.22%,200,"26,517","115,041",33.41,"277,845",13.45,15.58,
109,현대해상,"29,450",650,-2.16%,500,"26,328","89,400",34.84,"259,515",4.84,8.82,
110,현대오토에버,"95,500","4,100",-4.12%,500,"26,190","27,424",2.11,"52,411",29.14,7.26,
111,롯데쇼핑,"91,000","1,800",-1.94%,"5,000","25,743","28,289",12.31,"66,820",-4.96,-2.94,
112,한진칼,"37,450","1,250",-3.23%,"2,500","25,002","66,762",16.71,"86,517",2.64,1.11,
113,동원산업,"49,350","2,550",-4.91%,"1,000","24,666","49,983",2.42,"29,313",4.48,12.59,
114,CJ,"84,100","1,400",-1.64%,"5,000","24,538","29,177",17.89,"64,270",8.54,5.66,
115,한화생명,"2,770",65,+2.40%,"5,000","24,058","868,530",7.07,"4,343,735",2.24,10.79,
116,일진머티리얼즈,"51,900",100,+0.19%,500,"23,932","46,111",9.08,"200,014",42.93,7.85,
117,KODEX 200선물인버스2X,"3,450",115,+3.45%,0,"23,615","684,500",4.81,"89,643,527",N/A,N/A,
118,에스원,"59,300","1,500",-2.47%,500,"22,534","37,999",53.59,"49,116",17.70,9.13,
119,LS,"69,700","2,300",-3.19%,"5,000","22,443","32,200",13.51,"112,387",5.60,8.15,
120,한미사이언스,"32,450","1,200",-3.57%,500,"22,268","68,624",1.44,"83,108",44.76,6.37,
121,키움증권,"84,000","3,900",-4.44%,"5,000","22,024","26,220",25.23,"72,089",4.35,25.38,
122,농심,"357,000",0,0.00%,"5,000","21,715","6,083",15.19,"16,494",18.67,4.73,
123,신세계,"220,000","9,000",-3.93%,"5,000","21,659","9,845",26.67,"97,922",7.29,8.54,
124,CJ대한통운,"93,700",900,-0.95%,"5,000","21,375","22,812",16.93,"68,509",10.59,1.59,
125,LG화학우,"277,500","4,000",-1.42%,"5,000","21,336","7,689",69.93,"7,191",9.76,N/A,
126,서울가스,"425,000","4,500",-1.05%,"5,000","21,250","5,000",3.86,"8,367",100.66,0.80,
127,BNK금융지주,"6,500",140,-2.11%,"5,000","21,186","325,935",35.04,"3,093,440",2.61,8.76,
128,KODEX 종합채권(AA-이상)액티브,"101,340",50,-0.05%,0,"21,072","20,793",0.00,"10,146",N/A,N/A,
129,한솔케미칼,"185,500","9,000",-4.63%,"5,000","21,027","11,335",39.38,"19,188",14.72,23.88,
130,한전기술,"54,600",900,-1.62%,200,"20,868","38,220",1.58,"143,662",102.82,3.25,
131,영원무역,"46,950",900,-1.88%,500,"20,804","44,311",30.31,"62,221",3.66,14.71,
132,대우조선해양,"18,950",300,-1.56%,"5,000","20,332","107,291",2.54,"274,849",-1.19,-55.86,
133,LIG넥스원,"92,200",600,+0.66%,"5,000","20,284","22,000",14.33,"164,731",11.06,14.63,
134,휠라홀딩스,"33,250",300,-0.89%,"1,000","20,200","60,752",42.33,"156,586",9.38,16.20,
135,동서,"20,200","1,000",-4.72%,500,"20,139","99,700",2.90,"94,270",18.20,8.05,
136,한화시스템,"10,550",400,-3.65%,"5,000","19,931","188,919",3.87,"545,833",-219.79,6.04,
137,TIGER MSCI Korea TR,"12,225",175,-1.41%,0,"19,609","160,400",0.00,"2,311",N/A,N/A,
138,KODEX 200TR,"9,925",190,-1.88%,0,"19,592","197,400",0.07,"524,884",N/A,N/A,
139,OCI,"80,800","3,800",-4.49%,"5,000","19,270","23,849",12.12,"423,953",2.39,23.93,
140,한화,"25,650","1,100",-4.11%,"5,000","19,227","74,959",18.05,"205,194",1.85,20.22,
141,두산퓨얼셀,"29,350","1,100",-3.61%,100,"19,222","65,494",14.44,"397,057",587.00,1.69,
142,오뚜기,"476,000","6,000",-1.24%,"5,000","19,077","4,008",11.14,"3,798",12.25,8.91,
143,TIGER 200,"29,635",500,-1.66%,0,"18,937","63,900",6.68,"889,595",N/A,N/A,
144,HL만도,"40,300","1,800",-4.28%,"1,000","18,924","46,957",23.55,"288,860",8.93,9.31,
145,대한전선,"1,495",45,-2.92%,100,"18,605","1,244,473",2.18,"4,762,258",57.50,7.78,
146,KODEX 레버리지,"12,805",480,-3.61%,0,"18,516","144,600",0.16,"18,099,118",N/A,N/A,
147,TIGER 미국나스닥100,"60,800",700,-1.14%,0,"18,514","30,450",0.00,"91,667",N/A,N/A,
148,대웅제약,"158,500","3,000",-1.86%,"2,500","18,365","11,587",7.69,"25,287",22.32,4.39,
149,KCC,"204,500","14,500",-6.62%,"5,000","18,173","8,886",13.24,"60,347",-6.57,-0.92,
150,GS건설,"21,150","1,000",-4.51%,"5,000","18,100","85,581",28.74,"953,253",3.62,9.32,
151,현대차우,"74,000","2,700",-3.52%,"5,000","18,024","24,357",57.62,"51,375",3.30,N/A,
